address,eth_amount,arb_amount,distribution_network
0xB1748C79709f4Ba2Dd82834B8c82D4a505003f27,148444540427936661504,0,1
0x53AB8F38EE493d88553Ea6c2766d574E404e249B,38096799772034613248,0,1
0xA44ED7D06cbEE6F7d166A7298Ec61724C08163F5,31335416372209078272,0,1
0x461aa63A98e6f8BdAa19CA3f2258670E794FFF34,5632358023816332288,0,1
0xa76595083F0436912A50418901AcA7ED044Bb14F,5506545292247469056,0,1
0xF02e86D9E0eFd57aD034FaF52201B79917fE0713,3644146366116347392,0,1
0x04B3f2Ac72AAD1Cdb12A4Cb516E2183F1D455442,1942586767297148416,0,1
0x30A14d1BfBa95f1867a67Ae8C18A950075592C99,1928333234242854656,0,1
0x67E3ea119E141406c37e2CA783b749Fe1437673f,1928333234242854656,0,1
0xFcfBF39D5211498AfD8a00C07AAD44A2a96118d0,1474709798113992448,0,1
0x3dFc49e5112005179Da613BdE5973229082dAc35,1467942309277393152,0,1
0xb4d47Add34a5dF5Ce64DdC6e926A99fc1F8F817f,1044513789701076096,0,1
0x79129d8A02d60D9E9AcF47632B11fC56DE3EcB08,927539805694473216,0,1
0x2291F52bddc937b5B840d15E551e1DA8C80c2B3c,655997369688382336,0,1
0x9008D19f58AAbD9eD0D60971565AA8510560ab41,113705033676272256,0,1
0x8D60876891Ed33e0d40Ff677baDb9b8A9E775CC5,68069815777632672,0,1
0xb603a2dEaEfF0642D0B0280BF710fbCfd53a27aE,58717672510526864,0,1
0x64D6539c03352D0fAEAb9c2a1C3120dbA859836c,46803317255718368,0,1
0x130F0002b4cF5E67ADf4C7147ac80aBEe7b3Fe0a,33028622516465932,0,1
0x5ad6211CD3fdE39A9cECB5df6f380b8263d1e277,15015384475488284,0,1
0x8663c0859767AF92EB4CC1D0d99a52Fee2279307,11617042539081744,0,1
0xD1742B3C4fBB096990C8950fA635Aec75B30781A,7517026705104969,0,1
0xA52Fd396891E7A74b641a2Cb1A6999Fcf56B077e,5871677878492849,0,1
0xeF13101C5bbD737cFb2bF00Bbd38c626AD6952F7,5184601499029438,0,1
0x1c073d5045b1aBb6924D5f0f8B2F667b1653a4c3,669499776028662,0,1
0x0f3BB250143A88c75b687094e128aB61b1805B91,541299804083690,0,1
0x84D99Aa569D93a9CA187D83734c8C4a519c4e9b1,503068209042006,0,1
0x294A7fABEb03Cc9752c167bBd758EF1f2aa282ea,374570328564241,0,1
0xdD9f24EfC84D93deeF3c8745c837ab63E80Abd27,271791884750882,0,1
0x88A69B4E698A4B090DF6CF5Bd7B2D47325Ad30A3,191257278052685,0,1
0xE371f2F0747F4B07B792E56B9De9a43dE79b83aF,184206776109933,0,1
0x9e2c57C7CA46390a046da18E5a1474eEE86d4468,163253875970204,0,1
0x8a08DCbC8c9c603428Ee7333ADAc9BcAbB9b23be,1405532457714282,0,10
0x04641386e8bc87A533151d97D2d4E3656ed1237A,902762157205068,0,10
0x27E2E09a84BaE20C2a9667594896EaF132c862b7,0,192402287827611012825088,42161
0xda7Dc67829F5c1Ad7eC4C6174a6Fbbc722229a40,0,69965370569576534769664,42161
0x74c5E6Dc988989D3025292C94d36B9e0ABBcf3d0,0,69965370569576534769664,42161
0x0e269790EBA49dCe4B852457F60f4A1493F42dC1,0,58302234194871748395008,42161
0xb42b2FD9e3399336a47b6759A840F0baC1DdE895,0,57060768574088396406784,42161
0xCB8EFB0c065071E4110932858A84365A80C8feF0,0,43397933548815394013184,42161
0xFADd1e869eEeb303785f9FafCEDBC40605B8B346,0,30294567220080160014336,42161
0x01F3f5E04aC4ef7c632A16B1F5AcFAd1CC100077,0,28736589426359604871168,42161
0xa0f75491720835b36edC92D06DDc468D201e9b73,0,28601654506154335666176,42161
0x6B6c51C444fea186e7dAb8963730f37FAFf1dB16,0,26772327707191524982784,42161
0x89a88bcfe0A8BB0BD240FACf5f20385Cdc48eC4C,0,25658887086854880886784,42161
0xdB7A80DdfDeB83573636B84862803bB07317194C,0,25478158753343398215680,42161
0xbf6b82232Ab643ffb85578868B74919fE30E26e2,0,22464131341874462982144,42161
0xD9AED190e9Ae62b59808537D2EBD9E123eac4703,0,22257344098400152322048,42161
0xC6e00e0E3544C93460cdFb53E85C4528EF348265,0,22146742312708178182144,42161
0x5318f07A3a20A2f8bb0DDf14F1DD58C517a76508,0,19478786591095150084096,42161
0x0EA4A285E1353F490eC7f473AB3174Cac71cF79a,0,17474585259678323703808,42161
0x7e108711771DfdB10743F016D46d75A9379cA043,0,16202999718886567313408,42161
0x38eE5F5A39c01cB43473992C12936ba1219711ab,0,16000237067571589808128,42161
0x38f9aBD4BD8947dA035abf51fC21244108a81CA6,0,14430399182230685483008,42161
0x82AbEDF193942a6Cdc4704A8D49e54fE51160E99,0,13887367091684680663040,42161
0x2a6bf8a714AcDbe9d6e9dd1753Ca09b8e7D95328,0,10321462366896952180736,42161
0xf6AdCf15A808d32ec0dB6592695C201120E2c478,0,10310582232370846367744,42161
0xDAD92B08880C86e639B47516C4FEb0B10B1871D8,0,10092088384531910885376,42161
0x90763Cf0cEB2D3Ea37702D69dB885e498EeE14fb,0,9632453918653102948352,42161
0x95f1872c2c63f54072BD42F68BeEe71E0D6f67d3,0,9012645108192564477952,42161
